Route_name,Route_link
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur
Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
Kannur to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore
Kottayam to Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode
Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
Kozhikode to Kalpetta (kerala),https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta
Coimbatore to Ooty,https://www.redbus.in/bus-tickets/coimbatore-to-ooty
Kalpetta (kerala) to Kozhikode,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode
