Route_name,Route_link
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
Asansol (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/asansol-to-kolkata
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
Digha to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/digha-to-durgapur
Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
Kolkata to Mecheda (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
Durgapur (West Bengal) to Digha,https://www.redbus.in/bus-tickets/durgapur-to-digha
Kolkata to Kolaghat,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Durgapur (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/durgapur-to-siliguri
Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
Kolkata to Heria,https://www.redbus.in/bus-tickets/kolkata-to-heria
Kolkata to Chandipur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal
Siliguri to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-durgapur
Berhampore (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/berhampore-to-durgapur
Berhampore (West Bengal) to Suri,https://www.redbus.in/bus-tickets/berhampore-to-suri
Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
Kolkata to Futishanko,https://www.redbus.in/bus-tickets/kolkata-to-futishanko
Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
Durgapur (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-berhampore
Durgapur (West Bengal) to Malda,https://www.redbus.in/bus-tickets/durgapur-to-malda
Digha to Asansol (West Bengal),https://www.redbus.in/bus-tickets/digha-to-asansol
Kolkata to Ramnagar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-ramnagar-west-bengal
Kolkata to Bajkul (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-bajkul-west-bengal
Kolkata to Kirnahar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal
Durgapur (West Bengal) to Bankura,https://www.redbus.in/bus-tickets/durgapur-to-bankura
Siliguri to Malda,https://www.redbus.in/bus-tickets/siliguri-to-malda
Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
Purulia to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/purulia-to-durgapur
